SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
010,0,0,00,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,894123,3582436,3688179,852024,3438423,3443099,42099,144013,245080,19893,376029,1010923,0,0,0,19893,376029,1010923,0,0,0,10.797900494,11.086947418,10.363827689,10.350218243,0.4340728052,0.7367291754,1.1333974214,3.0389116539,0,0,1.1333974214,3.0389116539
020,1,0,00,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,146120,572782,593222,192891,560931,564007,-46771,11851,29215,4429,80451,214464,-113328,-278474,-460736,-108899,-198023,-246272,-4588,-3469,-1794,9.986770339,10.380118094,9.7801416124,9.8689179862,0.2066287266,0.5112001074,1.402707593,3.7526619829,-4.855347904,-8.061896036,-3.452640311,-4.309234053
030,1,1,00,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,35417,139206,146423,46182,143894,149549,-10765,-4688,-3126,1560,26735,70412,-30001,23342,-56991,-28441,50077,13421,-2527,1883,-2492,9.2200950463,9.6804457251,9.5305975073,9.8871145772,-0.310502461,-0.206668852,1.7707515557,4.6551398646,1.5460214256,-3.767838948,3.3167729813,0.8873009164
030,1,2,00,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,110703,433576,446799,146709,417037,414458,-36006,16539,32341,2869,53716,144052,-83327,-301816,-403745,-80458,-248100,-259693,-2061,-5352,698,10.260704355,10.631949198,9.8693040251,9.8623685385,0.3914003296,0.7695806593,1.271205037,3.4278356618,-7.142564961,-9.607443904,-5.871359924,-6.179608242
020,2,0,00,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,190131,747700,759934,186324,761965,768572,3807,-14265,-8638,3070,55306,145268,-39524,-182263,-174049,-36454,-126957,-28781,8153,16684,-11491,10.852152464,11.043618087,11.059195335,11.169148427,-0.207042871,-0.12553034,0.802713848,2.1110837419,-2.645373632,-2.529338975,-1.842659784,-0.418255233
030,2,3,00,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,127378,500167,508030,133459,529543,535923,-6081,-29376,-27893,1991,37015,98117,-31782,-175642,-146416,-29791,-138627,-48299,5979,11207,-7977,10.583227639,10.7770783,11.204805822,11.368785571,-0.621578183,-0.591707271,0.7832147484,2.0814018691,-3.716477234,-3.105991175,-2.933262486,-1.024589305
030,2,4,00,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,62753,247533,251904,52865,232422,232649,9888,15111,19255,1079,18291,47151,-7742,-6621,-27633,-6663,11670,19518,2174,5477,-3514,11.439509377,11.623377272,10.741168443,10.734911311,0.6983409331,0.8884659607,0.8453017012,2.1756457291,-0.305983411,-1.275044398,0.5393182906,0.9006013307
020,3,0,00,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,348206,1425940,1476296,314775,1403963,1406198,33431,21977,70098,8957,155222,414740,147114,722926,867935,156071,878148,1282675,-5151,-4709,17390,11.236870502,11.53075994,11.063684601,10.983252387,0.1731859005,0.5475075529,1.2231997932,3.2393689189,5.6968917658,6.7790945233,6.920091559,10.018463442
030,3,5,00,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,172099,699565,727568,168663,727277,738452,3436,-27712,-10884,6001,97735,260228,72783,437217,523687,78784,534952,783915,-7280,-5693,13561,10.53314686,10.8495655,10.950398389,11.011868778,-0.417251529,-0.162303277,1.471567486,3.8805455036,6.5830492816,7.8092719967,8.0546167676,11.6898175
030,3,6,00,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,54200,222808,227806,56664,258082,258921,-2464,-35274,-31115,517,7300,18741,22052,77441,114959,22569,84741,133700,139,2338,1045,11.456325651,11.666691505,13.270041635,13.260192581,-1.813715984,-1.593501076,0.3753508727,0.9597880016,3.9818557445,5.8874269718,4.3572066172,6.8472149734
030,3,7,00,West South Central,40774078,40863245,41205309,41685250,89167,342064,479941,121907,503567,520922,89448,418604,408825,32459,84963,112097,2439,50187,135771,52279,208268,229289,54718,258455,365060,1990,-1354,2784,12.271862375,12.56891029,10.201325102,9.8642114357,2.070537273,2.7046988548,1.2230506705,3.2759098657,5.0754641053,5.5323308895,6.2985147758,8.8082407551
020,4,0,00,West Region,78588565,78650958,78589763,78743364,62393,-61195,153601,209666,836014,858727,158034,711564,704322,51632,124450,154405,3437,85050,236451,5738,-262189,-233150,9175,-177139,3301,1586,-8506,-4105,10.633555922,10.916035502,9.0506326284,8.9532575044,1.5829232938,1.9627779978,1.0817808448,3.0057369927,-3.33487405,-2.963775073,-2.253093205,0.0419619194
030,4,8,00,Mountain,24919131,24996513,25268390,25514320,77382,271877,245930,68918,276639,283386,54872,241602,249091,14046,35037,34295,1024,21406,58042,63531,214914,152329,64555,236320,210371,-1219,520,1264,11.007242966,11.160727736,9.61314896,9.8100711837,1.3940940063,1.3506565522,0.8517274966,2.2858961249,8.5512549383,5.999246594,9.4029824349,8.2851427189
030,4,9,00,Pacific,53669434,53654445,53321373,53229044,-14989,-333072,-92329,140748,559375,575341,103162,469962,455231,37586,89413,120110,2413,63644,178409,-57793,-477103,-385479,-55380,-413459,-207070,2805,-9026,-5369,10.457970978,10.799413389,8.7863221574,8.5448938224,1.6716488207,2.254519567,1.1898763887,3.3488184284,-8.919828965,-7.235616919,-7.729952577,-3.886798491
040,3,6,01,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870,-1298,-11944,-8590,127,1805,4597,9042,27704,28609,9169,29509,33206,-865,919,-166,11.330388184,11.513074392,13.699945483,13.210008315,-2.369557299,-1.696933923,0.3580920064,0.908126338,5.4961667292,5.6516394179,5.8542587357,6.559765756
040,4,9,02,Alaska,733378,732923,734182,733583,-455,1259,-599,2406,9461,9488,1163,5364,6396,1243,4097,3092,58,877,2371,-1716,-3570,-6126,-1658,-2693,-3755,-40,-145,64,12.89750904,12.928500135,7.312360056,8.7152916168,5.5851489839,4.2132085177,1.195551784,3.2307624177,-4.86672733,-8.34738531,-3.671175546,-5.116622893
040,4,8,04,Arizona,7151507,7179943,7264877,7359197,28436,84934,94320,18110,75384,78763,18030,80430,79329,80,-5046,-566,251,8019,22219,29567,81811,70984,29818,89830,93203,-1462,150,1683,10.43751324,10.77169057,11.136171998,10.84909718,-0.698658758,-0.07740661,1.1102942093,3.0386881248,11.327382411,9.7078283384,12.43767662,12.746516463
040,3,7,05,Arkansas,3011555,3014195,3028122,3045637,2640,13927,17515,8508,35115,36251,8493,40174,40187,15,-5059,-3936,94,1346,3314,2406,17440,18209,2500,18786,21523,125,200,-72,11.623024744,11.93692407,13.297547944,13.232991299,-1.6745232,-1.29606723,0.4455244569,1.0912517273,5.7726200065,5.9959573635,6.2181444635,7.0872090908
040,4,9,06,California,39538245,39501653,39142991,39029342,-36592,-358662,-113649,103123,412194,424652,74463,345550,318497,28660,66644,106155,1387,44121,125715,-68946,-458951,-343230,-67559,-414830,-217515,2307,-10476,-2289,10.482443026,10.864508803,8.787629581,8.148586278,1.6948134446,2.7159225247,1.1220344516,3.2163553312,-11.67151319,-8.781367699,-10.54947874,-5.565012368
040,4,8,08,Colorado,5773733,5784865,5811297,5839926,11132,26432,28629,15589,62064,63086,11904,46644,49381,3685,15420,13705,242,3914,10366,6918,5690,5376,7160,9604,15742,287,1408,-818,10.704231279,10.829077771,8.0447306617,8.4765350384,2.6595006175,2.3525427331,0.675050935,1.7793840183,0.9813591773,0.9228215785,1.6564101122,2.7022055968
040,1,1,09,Connecticut,3605942,3597362,3623355,3626205,-8580,25993,2850,8465,33896,35818,11915,34649,34902,-3450,-753,916,410,6217,16296,-5548,19019,-13547,-5138,25236,2749,8,1510,-815,9.3885413318,9.8814272866,9.5971078772,9.6287222949,-0.208566545,0.2527049918,1.7219896584,4.4957211196,5.267897911,-3.737330266,6.9898875693,0.7583908541
040,3,5,10,Delaware,989957,992114,1004807,1018396,2157,12693,13589,2579,10220,10744,2950,11230,11462,-371,-1010,-718,64,939,2451,2512,12781,11826,2576,13720,14277,-48,-17,30,10.235757949,10.620782986,11.247315242,11.33054864,-1.011557292,-0.709765654,0.9404478194,2.422890832,12.800706688,11.690374125,13.741154507,14.113264957
040,3,5,11,District of Columbia,689546,670868,668791,671803,-18678,-2077,3012,2187,8304,8096,2005,5832,5556,182,2472,2540,50,1746,4558,-15939,-6624,-3647,-15889,-4878,911,-2971,329,-439,12.397184657,12.078228009,8.7066932705,8.2888629966,3.6904913862,3.7893650128,2.6066334791,6.7999707592,-9.889083715,-5.440871733,-7.282450235,1.3590990263
040,3,5,12,Florida,21538226,21589602,21828069,22244823,51376,238467,416754,50292,207964,220578,56302,250785,260794,-6010,-42821,-40216,2842,46862,125629,59688,243933,318855,62530,290795,444484,-5144,-9507,12486,9.5796939454,10.00969031,11.552208777,11.834666988,-1.972514832,-1.824976677,2.1586602377,5.7009646655,11.236576923,14.469438493,13.39523716,20.170403158
040,3,5,13,Georgia,10711937,10729828,10788029,10912876,17891,58201,124847,29842,121391,125538,24818,109531,109357,5024,11860,16181,732,10160,27285,11226,35457,81406,11958,45617,108691,909,724,-25,11.282815013,11.56984006,10.180474756,10.078565848,1.1023402563,1.4912742118,0.9443319565,2.5146416705,3.2955884036,7.5025442487,4.2399203601,10.017185919
040,4,9,15,Hawaii,1455273,1451043,1447154,1440196,-4230,-3889,-6958,3835,15518,15788,2838,12133,13328,997,3385,2460,120,2048,5785,-4993,-9479,-15212,-4873,-7431,-9427,-354,157,9,10.708726839,10.935979358,8.3727917736,9.2319947357,2.3359350658,1.7039846226,1.4132924711,4.0071345698,-6.541308269,-10.53699759,-5.128015797,-6.529863023
040,4,8,16,Idaho,1839092,1849202,1904314,1939033,10110,55112,34719,5467,21872,22524,3628,17084,18838,1839,4788,3686,58,697,1844,8669,51339,28639,8727,52036,30483,-456,-1712,550,11.654139745,11.721033776,9.1029317579,9.8029139706,2.5512079874,1.9181198055,0.3713851226,0.9595802825,27.35515181,14.903156025,27.726536932,15.862736308
040,2,3,17,Illinois,12812545,12786580,12686469,12582032,-25965,-100111,-104437,33454,131658,131491,35347,128282,126625,-1893,3376,4866,507,11436,31529,-24768,-115624,-141656,-24261,-104188,-110127,189,701,824,10.337042888,10.407503001,10.071978427,10.022359459,0.2650644609,0.3851435429,0.8978901583,2.4955180365,-9.078143728,-11.21206201,-8.180253569,-8.716543969
040,2,3,18,Indiana,6785668,6788799,6813532,6833037,3131,24733,19505,19443,77543,80214,19156,77603,79190,287,-60,1024,342,6065,15490,1385,16079,5230,1727,22144,20720,1117,2649,-2239,11.401428182,11.755921946,11.410250199,11.605847594,-0.008822017,0.150074352,0.8917589198,2.2701676883,2.3641536146,0.7664930284,3.2559125344,3.0366607167
040,2,4,19,Iowa,3190372,3190571,3197689,3200517,199,7118,2828,9103,36021,36928,8074,35560,35369,1029,461,1559,199,3701,9348,-1392,1807,-7292,-1193,5508,2056,363,1149,-787,11.277249204,11.543235713,11.132921954,11.05591161,0.1443272503,0.487324103,1.1586879682,2.9220690925,0.5657252523,-2.279388941,1.7244132205,0.6426801513
040,2,4,20,Kansas,2937847,2937919,2937922,2937150,72,3,-772,8510,34281,34968,6990,32746,32960,1520,1535,2008,128,2069,5484,-2008,-4975,-7409,-1880,-2906,-1925,432,1374,-855,11.668457332,11.903854114,11.145978933,11.220288024,0.5224783993,0.6835660908,0.7042396144,1.8668707379,-1.693374617,-2.522181856,-0.989135002,-0.655311118
040,3,6,21,Kentucky,4505893,4507445,4506589,4512310,1552,-856,5721,12580,51453,52496,12816,58285,60854,-236,-6832,-8358,119,1754,4455,919,2763,10420,1038,4517,14875,750,1459,-796,11.416198341,11.641332273,12.932056835,13.494773586,-1.515858494,-1.853441313,0.3891709306,0.9879254663,0.61304406,2.3107033353,1.0022149905,3.2986288016
040,3,7,22,Louisiana,4657749,4651664,4627098,4590241,-6085,-24566,-36857,13555,57123,57152,14831,56590,55995,-1276,533,1157,192,3183,8106,-5318,-28288,-46672,-5126,-25105,-38566,317,6,552,12.312633948,12.40097603,12.197747932,12.149927436,0.114886016,0.2510485944,0.6860829063,1.7588590373,-6.097365144,-10.12700086,-5.411282238,-8.368141825
040,1,1,23,Maine,1362341,1363557,1377238,1385340,1216,13681,8102,2997,11580,12030,3713,16100,17973,-716,-4520,-5943,58,1012,2525,1738,17304,11600,1796,18316,14125,136,-115,-80,8.4501029811,8.709256354,11.748416062,13.011759306,-3.298313081,-4.302502952,0.7384718667,1.8280026844,12.626993263,8.3979529266,13.36546513,10.225955611
040,3,5,24,Maryland,6177213,6173205,6174610,6164660,-4008,1405,-9950,17156,67441,69130,16908,58911,57567,248,8530,11563,506,9038,23756,-5489,-17697,-45101,-4983,-8659,-21345,727,1534,-168,10.923552062,11.204876788,9.5419311028,9.3306978452,1.3816209588,1.8741789425,1.4639027229,3.850470895,-2.866418067,-7.310156922,-1.402515344,-3.459686027
040,1,1,25,Massachusetts,7029949,6995729,6989690,6981974,-34220,-6039,-7716,17112,66541,70019,22124,61675,63716,-5012,4866,6303,907,16476,43880,-26857,-26717,-57292,-25950,-10241,-13412,-3258,-664,-607,9.515767815,10.023000839,8.8199002118,9.1207461044,0.6958676033,0.902254735,2.3561682349,6.2812847489,-3.820693538,-8.201170598,-1.464525303,-1.919885849
040,2,3,26,Michigan,10077325,10069577,10037504,10034113,-7748,-32073,-3391,26586,102739,105157,31049,115020,117639,-4463,-12281,-12482,409,7044,18812,-5140,-29566,-8482,-4731,-22522,10330,1446,2730,-1239,10.219185967,10.478179212,11.440745676,11.721925543,-1.221559708,-1.243746331,0.7006486919,1.8744877406,-2.940854518,-0.84517356,-2.240205826,1.0293141803
040,2,4,27,Minnesota,5706504,5709852,5711471,5717184,3348,1619,5713,16461,63068,64821,12756,51473,53204,3705,11595,11617,295,5523,14194,-1665,-16312,-19400,-1370,-10789,-5206,1013,813,-698,11.043904458,11.34359205,9.0134916944,9.310631916,2.0304127639,2.032960134,0.9671383954,2.4839318362,-2.856411643,-3.394975174,-1.889273248,-0.911043338
040,3,6,28,Mississippi,2961288,2958141,2949586,2940057,-3147,-8555,-9529,8503,34972,35060,9743,41379,40014,-1240,-6407,-4954,62,628,1593,-2216,-3476,-5716,-2154,-2848,-4123,247,700,-452,11.839409641,11.905645215,14.008433362,13.587920354,-2.169023721,-1.68227514,0.2126029182,0.5409495958,-1.176763923,-1.941034457,-0.964161005,-1.400084861
040,2,4,29,Missouri,6154920,6153998,6169823,6177957,-922,15825,8134,17238,68778,69255,16792,75425,75249,446,-6647,-5994,270,3862,10058,-1607,16816,5024,-1337,20678,15082,-31,1794,-954,11.161797952,11.217401023,12.240521832,12.188263801,-1.07872388,-0.970862779,0.6267536667,1.6291187566,2.7290237338,0.8137495161,3.3557774005,2.4428682727
040,4,8,30,Montana,1084197,1087075,1106227,1122867,2878,19152,16640,2812,10806,11173,2527,12115,12859,285,-1309,-1686,43,713,1801,2668,20370,16003,2711,21083,17804,-118,-622,522,9.853636207,10.024700618,11.04727028,11.537422827,-1.193634073,-1.512722209,0.6501612637,1.6159031427,18.574733438,14.358299829,19.224894702,15.974202972
040,2,4,31,Nebraska,1961489,1962642,1963554,1967923,1153,912,4369,6046,24260,24376,4472,19535,19271,1574,4725,5105,95,1581,4018,-844,-5994,-4270,-749,-4413,-252,328,600,-484,12.358017786,12.400428643,9.9511078917,9.8034402847,2.4069098945,2.5969883583,0.8053596917,2.0440155188,-3.053337123,-2.172211614,-2.247977432,-0.128196095
040,4,8,32,Nevada,3104624,3115648,3146402,3177772,11024,30754,31370,8166,33289,33784,7016,32428,33392,1150,861,392,134,3614,10163,10089,25447,20781,10223,29061,30944,-349,832,34,10.63198154,10.684083012,10.35699172,10.560114254,0.2749898196,0.1239687586,1.1542545971,3.2140165656,8.1273704298,6.5719254404,9.2816250269,9.785942006
040,1,1,33,New Hampshire,1377518,1378587,1387505,1395231,1069,8918,7726,2994,12107,12670,3477,13693,14700,-483,-1586,-2030,88,1542,3900,1223,8512,6303,1311,10054,10203,241,450,-447,8.7538664658,9.1061458938,9.9006106811,10.565141645,-1.146744215,-1.458995751,1.1149303783,2.8029967629,6.154531375,4.5300739991,7.2694617533,7.333070762
040,1,2,34,New Jersey,9289031,9271689,9267961,9261699,-17342,-3728,-6262,24719,97795,102555,33957,84110,82804,-9238,13685,19751,901,14748,39388,-9775,-33743,-64231,-8874,-18995,-24843,770,1582,-1170,10.549821599,11.069280278,9.0735261993,8.9374548697,1.4762953993,2.1318254086,1.5909685458,4.2513462201,-3.640090293,-6.932776964,-2.049121747,-2.681430744
040,4,8,35,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,5328,21322,20955,5509,24691,25250,-181,-3369,-4295,159,2259,5893,653,-1207,-4504,812,1052,1389,232,604,-427,10.069262186,9.907752231,11.660264171,11.93847501,-1.591001984,-2.030722779,1.0668072075,2.7862745835,-0.570002789,-2.129540255,0.4968044189,0.6567343283
040,1,2,36,New York,20201230,20108296,19857492,19677151,-92934,-250804,-180341,53083,205802,212145,72523,177143,176534,-19440,28659,35611,1343,28770,77923,-69544,-295820,-299557,-68201,-267050,-221634,-5293,-12413,5682,10.298908657,10.732106522,8.8647320053,8.9305979062,1.4341766513,1.8015086161,1.4397314023,3.942011061,-14.80366157,-15.15415227,-13.36393017,-11.21214121
040,3,5,37,North Carolina,10439414,10449445,10565885,10698973,10031,116440,133088,28675,116827,122179,25879,115142,115720,2796,1685,6459,674,9927,26430,7614,104457,99796,8288,114384,126226,-1053,371,403,11.118264619,11.491165377,10.957905491,10.883684246,0.1603591283,0.6074811315,0.944738912,2.4857913465,9.9410287633,9.3860020133,10.885767675,11.87179336
040,2,4,38,North Dakota,779091,779518,777934,779261,427,-1584,1327,2563,10058,10164,1758,7816,7365,805,2242,2799,29,455,1268,-482,-3994,-2710,-453,-3539,-1442,75,-287,-30,12.915967876,13.054241762,10.036906434,9.4593162706,2.8790614414,3.594925491,0.5842876699,1.6285693186,-5.128890008,-3.480617392,-4.544602338,-1.852048074
040,2,3,39,Ohio,11799374,11797517,11764342,11756058,-1857,-33175,-8284,32341,128220,129529,33744,146833,149072,-1403,-18613,-19543,518,9281,24112,-3120,-27630,-9165,-2602,-18349,14947,2148,3787,-3688,10.883691308,11.014183432,12.463617578,12.675974898,-1.57992627,-1.661791466,0.7877986198,2.0503052669,-2.345315792,-0.779323481,-1.557517172,1.270981786
040,3,7,40,Oklahoma,3959346,3964912,3991225,4019800,5566,26313,28575,11579,47369,48107,10380,50720,51390,1199,-3351,-3283,177,2186,5737,3721,26295,26791,3898,28481,32528,469,1183,-670,11.90753754,12.010198445,12.749906142,12.829818906,-0.842368602,-0.819620461,0.5495129106,1.4322761444,6.6099917586,6.6885323663,7.1595046692,8.1208085108
040,4,9,41,Oregon,4237291,4244795,4256301,4240137,7504,11506,-16164,10280,39736,41143,9533,41956,46232,747,-2220,-5089,177,2609,7026,6270,10285,-17331,6447,12894,-10305,310,832,-770,9.3484416598,9.6847643683,9.8707272568,10.882678129,-0.522285597,-1.197913761,0.6138032084,1.6538695392,2.4196880026,-4.079591942,3.033491211,-2.425722403
040,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008,-8249,17619,-40051,32901,129979,132099,40229,155784,155120,-7328,-25805,-23021,625,10198,26741,-4008,27747,-39957,-3383,37945,-13216,2462,5479,-3814,9.9958860283,10.167692379,11.980389979,11.939624386,-1.98450395,-1.771932007,0.7842655023,2.0582613184,2.1338512346,-3.075500075,2.9181167369,-1.017238756
040,1,1,44,Rhode Island,1097371,1096345,1096985,1093734,-1026,640,-3251,2546,10013,10544,3388,11348,11110,-842,-1335,-566,76,1073,2799,-474,389,-5196,-398,1462,-2397,214,513,-288,9.1304090128,9.6260634066,10.347736091,10.142788737,-1.217327078,-0.516725331,0.9784209398,2.5553254434,0.3547117853,-4.74364809,1.3331327251,-2.188322647
040,3,5,45,South Carolina,5118429,5131848,5193266,5282634,13419,61418,89368,13492,55591,57071,14077,65128,64531,-585,-9537,-7460,337,4026,10654,14409,67509,84030,14746,71535,94684,-742,-580,2144,10.768113553,10.895674835,12.615453931,12.319896143,-1.847340378,-1.424221308,0.7798461111,2.0340018519,13.076659493,16.042535725,13.856505604,18.076537577
040,2,4,46,South Dakota,886677,887799,896164,909824,1122,8365,13660,2832,11067,11392,2023,9867,9231,809,1200,2161,63,1100,2781,256,6031,8424,319,7131,11205,-6,34,294,12.407207997,12.615809186,11.061888615,10.222659287,1.3453193816,2.3931498991,1.2332094332,3.0797546828,6.7613509921,9.328965641,7.9945604253,12.408720324
040,3,6,47,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,19250,79271,81970,18940,89362,91183,310,-10091,-9213,209,3113,8096,14307,50450,81646,14516,53563,89742,7,-740,2459,11.410849455,11.693553852,12.863422046,13.007848248,-1.452572591,-1.314294396,0.4481080641,1.154947078,7.2621432175,11.647333144,7.7102512817,12.802280222
040,3,7,48,Texas,29145428,29232474,29558864,30029572,87046,326390,470708,88265,363960,379412,55744,271120,261253,32521,92840,118159,1976,43472,118614,51470,192821,230961,53446,236293,349575,1079,-2743,2974,12.381415779,12.734417128,9.2231273934,8.7685805347,3.158288386,3.9658365929,1.4788573106,3.9811080123,6.5595037146,7.751873199,8.0383610252,11.732981211
040,4,8,49,Utah,3271614,3283785,3339113,3380800,12171,55328,41687,11862,45745,46912,4958,22016,23363,6904,23729,23549,118,2055,5414,4548,29679,12898,4666,31734,18312,601,-135,-174,13.81419433,13.962085521,6.6484490626,6.9533638308,7.1657452674,7.0087216903,0.6205742562,1.6113303848,8.9625417755,3.8387401742,9.5831160317,5.4500705589
040,1,1,50,Vermont,643085,642893,646972,647064,-192,4079,92,1303,5069,5342,1565,6429,7148,-262,-1360,-1806,21,415,1012,-83,4835,1141,-62,5250,2153,132,189,-255,7.8597372593,8.2563390818,9.968485074,11.047606094,-2.108747815,-2.791267013,0.6434781935,1.5640986804,7.4969085912,1.7634748956,8.1403867847,3.327573576
040,3,5,51,Virginia,8631384,8636471,8657365,8683619,5087,20894,26254,23580,94523,96748,19817,83281,83823,3763,11242,12925,760,14310,37692,-358,-5465,-23952,402,8845,13740,922,807,-411,10.931409318,11.158305665,9.6312929069,9.6676174778,1.3001164114,1.490688187,1.6549249108,4.3471581543,-0.632017096,-2.762472995,1.0229078152,1.5846851597
040,4,9,53,Washington,7705247,7724031,7740745,7785786,18784,16714,45041,21104,82466,84270,15165,64959,70778,5939,17507,13492,671,13989,37512,11592,-15388,-3580,12263,-1399,33932,582,606,-2383,10.665010602,10.854968183,8.400897627,9.1170397303,2.2641129752,1.7379284529,1.809143566,4.831987261,-1.990070855,-0.46114615,-0.180927289,4.3708411106
040,3,5,54,West Virginia,1793755,1791420,1785526,1775156,-2335,-5894,-10370,4296,17304,17484,5907,27437,29642,-1611,-10133,-12158,36,727,1773,-880,2866,474,-844,3593,2247,120,646,-459,9.6752928336,9.8205905498,15.341019965,16.649619371,-5.665727131,-6.829028821,0.4064920186,0.9958766326,1.602484354,0.2662411302,2.0089763726,1.2621177628
040,2,3,55,Wisconsin,5893725,5896271,5880101,5892539,2546,-16170,12438,15554,60007,61639,14163,61805,63397,1391,-1798,-1758,215,3189,8174,-139,-18901,7657,76,-15712,15831,1079,1340,-1635,10.191084317,10.471567975,10.496441519,10.770226559,-0.305357202,-0.298658585,0.5415929456,1.3886434988,-3.209986913,1.3008127319,-2.668393967,2.6894562307
040,4,8,56,Wyoming,576837,577605,579483,581381,768,1878,1898,1584,6157,6189,1300,6194,6679,284,-37,-490,19,135,342,419,1785,2152,438,1920,2494,46,-5,-106,10.642232916,10.662747747,10.706186565,11.50694655,-0.063953649,-0.844198804,0.2333443956,0.5892163079,3.0853314528,3.7075833173,3.3186758483,4.2967996251
040,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789,-4317,-18864,-40904,4545,18794,19645,7301,33341,34102,-2756,-14547,-14457,-1561,-4317,-26447,0,0,0,-1561,-4317,-26447,0,0,0,5.7436681056,6.0590807408,10.189402911,10.518033669,-4.445734805,-4.458952928,-1.319326126,-8.157012387,0,0,-1.319326126,-8.157012387
